"

","Acc No","Account Name","Description","Real Users"
"1","040430491458","bgchmigrations","BGCH Migrations","N"
"2","039759963043","legacyplatforms","BGCH Legacy Platforms","
"
"3","178524270378","AWS Explore","Account allocated for Honeycomb Developers","N"
"4","723683156133","AWS Trial","Account allocated for Honeycomb Developers","N"
"5","836678124325","Alertme BG Scale","Legacy Alertme Account used for scale tests","N"
"6","165954058622","Alertme Lowes Scale Test","Legacy Alertme Account used for Lowes tests","N"
"7","347740424746","isopintpresent","Honeycomb INTPresent (unused)","N"
"8","705667835626","isopintfuture","Honeycomb INTFuture (unused)","N"
"9","211437271944","logging-archive","SRE Ops Logging Archive Account","N"
"10","175815676941","discovery-prod","SRE Discovery Service Account","Y"
"11","282642888590","hub log-dev","Hub Logging Dev Account","N"
"12","686121165088","abacode-poc","Abacode PoC Account","N"
"13","727283563901","devices-dev","Hardware Team dev Account","N"
"14","886358885274","honeycomb-dev6","Honeycomb Development account","N"
"15","146347069884","onehive-dev","OneHive Proxy dev account","N"
"16","992974014355","sense-dev","Sense Hub Dev Account","N"
"17","603792545831","permissionservice-prod","Permission service prod account","N"
"18","725227967719","hubbuild-prod","Next gen hub build account","N"
"19","773760066289","sense-staging","Sense Hub staging account","N"
"20","305879942725","sense-beta","Sense Hub beta account","N"
"21","738122424235","chsre-dev","SRE Development Account","N"
"22","995109022244","chsre-poc","SRE PoC Account","N"
"23","033675830184","chaim-foss","Chaim open source account","N"
"24","271835250835","tsd-prod","TSD Portal & API","N"
"25","268480079356","honeycomb-beta-us","Direct Energy Honeycomb Beta account","Y"
"26","777324539670","AWS-MIS","Alertme account (terminated by AWS?)
(Steve Potter has the old credentials)","U"
"27","639155854550","AWS Analytics","Alertme account closed 2019/07/08
(Steve Potter has the old credentials)","N"
"28","723683156133","AWS-Trial","Alertme account (terminated by AWS?)
(Steve Potter has the old credentials)","U"
"29","178524270378","AWS-Explore","Alertme account (terminated by AWS?)
(Steve Potter has the old credentials)","U"
"30","836678124325","AWS BG Scale","Alertme account (terminated by AWS?)
(Steve Potter has the old credentials)","U"
"31","165954058622","AWS Lowes Scale","Alertme account (terminated by AWS?)
(Steve Potter has the old credentials)","U"
"32","420663401402","Romanas (2nd Account)","Alertme account (terminated 2019-07-10)

romanas.sonkinas@exchange.alertme.com","N"
"33","964195379458","hvacdiag-dev-us","HVAC Diagnostics - dev & qa account","Y"
"34","938940813879","hvacdiag-prod-us","HVAC Diagnostics - beta and prod account","Y"
"35","963676189422","hiveleak-beta","Hive Leak Beta account","Y"
"36","013163559791","sre-test","For dev/test of cloud custodian","N"
"37","226119642773","naops-dev","
","Y"
"38","063504104465","hivecamera-trial","Hive Camera Trial account","N"
"39","999532328895","hivecamera-beta-us","Hive Camera US Beta platform account","Y"
"40","254574562905","hive-trials-automation","This account will be used by the Chaim Group for hive-trials-automations","N"
"41","085468963721","devportal-poc","Estafet Developer Portal poc account","N"
"42","575370466865","is-dev","IS Development","N"
"43","728193454066","logging-prod","SRE Ops Logging account","N"
"44","730830873638","hivecamerawl-dev","Hive camera whitelabel dev account","N"
"45","917746013916","hivecamerawl-beta","Hive camera whitelabel beta account","Y"
